atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;HFC;t CO2eq;703926,84
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);HFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;PFC;t CO2eq;0
